Edwards Flooring LLC	Flooring	Tuscaloosa, AL	(404) 516-7567	edwardsflooringcompany@gmail.com	92	Demo	https://edwards-flooring-demo.pages.dev/	Sent	4.9 stars; family owned. Only a Google Sites stub. High-ticket.	Email + Call	Edwards Flooring - your work deserves a better online presence	Sent	No	No Response	4/10/2026
Jamaican Spice LLC	Food Truck / Catering	Ypsilanti, MI	(734) 489-3935	jamaicanspicellc@gmail.com	92	Demo	https://jamaican-spice-demo.pages.dev/	Sent	100% positive; 30 reviews. Menu + catering booking potential.	Email + Call	Jamaican Spice - free website concept for your food truck	Sent	No	No Response	4/10/2026
Holifield Electrical LLC	Electrical	Northport, AL	(205) 826-9759	Josh@holifieldelectrical.org	91	Demo	https://holifield-electrical-demo.pages.dev/	Sent	Owner Josh. Licensed industrial/commercial. No website. Top lead.	Email + Call	Holifield Electrical - your work deserves a better online presence	Sent	No	No Response	4/10/2026
T-Town Garage Doors and More	Garage Doors	Tuscaloosa, AL	(205) 826-7068		90	Demo	https://ttown-garage-demo.pages.dev/	Call Ready	No website. High-ticket commercial/industrial/residential. Facebook only.	Cold Call	I build websites for service companies and I actually put together a garage door site concept -- can I text you the link real quick?	N/A	N/A	No Response
Sweet Olive Eats	Food Truck / Catering	Tuscaloosa, AL	(205) 394-8895	sweetolivecatering@gmail.com	90	Demo	https://sweet-olive-demo.pages.dev/	Sent	Five-star catering company. No website. Facebook + Instagram.	Email + Call	Sweet Olive - free website concept for your catering business	Sent	No	No Response	4/10/2026
H & H Repair Service	Mobile Mechanic	Huntsville, AL	(256) 479-5677		90	Demo	https://hh-repair-demo.pages.dev/	Call Ready	4.6 stars; 43 reviews; 24/7 service. Emergency searches = highest intent. Facebook only.	Cold Call	You've got 43 great reviews but no website for people to find you -- I built an auto repair site concept I think you'd like.	N/A	N/A	No Response
Elmo Glenn Paving	Asphalt Paving	Birmingham, AL	205-369-3640	cole@elmoglennpaving.com	88	Email		Sent	Owner: Cole and Jill. Owners Cole & Jill. 5.0 Angi; 45+ years. GoDaddy builder (3/5).	Email Draft	Elmo Glenn Paving - your 45+ years of experience deserve a better website	Sent	No	No Response	4/10/2026
Roofing Alabama LLC	Roofing	Tuscaloosa, AL	(205) 654-7011	roofingalabama@aol.com	85	Email		Draft Ready	30+ years; licensed/bonded/insured. Hibu template site (3/5).	Email Draft	Roofing Alabama - free website upgrade concept	Not Sent	No	No Response
Mills Electric	Electrical	Tuscaloosa, AL	205-345-3305	info@mills-electric.com	85	Email		Sent	40+ years. Only 6 Google reviews. Template site (3/5).	Email Draft	Mills Electric - 40+ years of service deserves a better website	Sent	No	No Response	4/10/2026
Roofing & Construction Company LLC	Roofing	Hoover, AL	205-757-7342	santos.roofingandconstruction@gmail.com	85	Email		Draft Ready	Owner Santos. 22+ years; 5-star reviews. WordPress/Elementor (3/5).	Email Draft	Santos Roofing - free website redesign concept	Not Sent	No	No Response
